section,parent,paid,share_of_all,type,employees,hq,evidence,payees_on_990,employee_source,notes,eric_ok
1: $1M+,University of Dayton,1660735,0.14%,university,500-4999,OH,B,UNIVERSITY OF DAYTON RESEARCH,"Form 5500 participants: 4,556 (2015), 5,103 (2019), 6,244 (2023)","The University of Dayton Research Institute files under the university's EIN; UD is a 501(c)(3) with about $775 million revenue in FY2019 (ProPublica). Form 5500 participants (which include former employees with balances) run 4,500 to 6,200, so the active headcount is likely under 5,000 but close to the line.",
1: $1M+,"Upstart Holdings, Inc.",1652858,0.14%,business,500-4999,CA,A,UPSTART NETWORK INC,"Upstart Holdings FY2023 10-K (filed 2024-02-15): ""As of December 31, 2023, we had 1,388 full-time employees."" | https://www.sec.gov/Archives/edgar/data/1647639/000164763922000009/upst-20211231.htm","Upstart Network is the operating subsidiary of Nasdaq-listed Upstart Holdings, headquartered in San Mateo, CA, with its second office in Columbus. The FY2021 10-K reported about 1,500 employees at Dec. 31, 2021, consistent with 2,060 Form 5500 participants in 2023. | Upstart Network, Inc. is the operating subsidiary of publicly traded Upstart Holdings, Inc. (San Mateo, CA), which reported 1,388 full-time employees as of December 31, 2023 in its 10-K, after 2022-2023 layoffs. Delaware incorporate",
1: $1M+,"Supply Line International Medical, LLC",1612500,0.14%,business,<100,MI,C,SUPPLY LINE INTERNATIONAL MEDICAL LLC,https://www.linkedin.com/company/supply-line-international-medical,"Privately held Novi, MI distributor of medical supplies (syringes, gloves, COVID tests) founded in 2013 by Josh and Darryl Kaplan and Max Cornfield alongside SLI Automotive; named a Michigan SBDC Best Small Business in 2022 and put into receivership in 2025 (Crain's Detroit). No Ohio project or JobsOhio release was found, and LinkedIn lists 2-10 employees, so the FY2020 payment may relate to pandemic supply purchasing rather than a site project.",
1: $1M+,"BDO USA, P.C.",1594318,0.14%,business,5000+,IL,B,BDO USA LLP,"Form 5500 participants: 6,687 (2015), 9,873 (2019), 14,565 (2023)","Chicago-based accounting firm (then BDO USA, LLP; now a P.C., which is why the EIN shows as an SEC registrant); Form 5500 participants of 9,873 in 2019 and Forbes' 12,000 employees put it well over 5,000. The grant went to a Columbus office; JobsOhio metrics show 0 jobs retained, so this was a new-jobs project.",
1: $1M+,The Procter & Gamble Company,1591850,0.14%,business,5000+,OH,A,THE PROCTER & GAMBLE MANUFACTURING COMPANY | The Procter & Gamble Distributing LLC | iMFLUX Inc,https://efts.sec.gov/LATEST/search-index?q=%22iMFLUX%22&forms=10-K | https://en.wikipedia.org/wiki/Procter_%26_Gamble | https://www.sec.gov/Archives/edgar/data/80424/000008042415000070/fy141510-kreport.htm,"Distribution subsidiary of The Procter & Gamble Company (NYSE: PG), Cincinnati, whose FY2015 10-K reports 110,000 employees as of June 30, 2015. P&G was founded in Cincinnati in 1837; no JobsOhio metrics row matched this $1M FY2015 grant. | The Procter & Gamble Manufacturing Company is a production subsidiary of The Procter & Gamble Company (NYSE: PG), headquartered in Cincinnati, Ohio (founded there in 1837), with over 100,000 employees worldwide per its 10-K. JobsOhio lists 749 jobs retained. ",
1: $1M+,Kohl's Corporation,1580970,0.13%,business,5000+,WI,A,KOHLS INC,https://www.sec.gov/Archives/edgar/data/885639/000095017023008444/kss-20230128.htm,"Kohl's FY2022 10-K reports an average of about 97,000 associates and lists a 1.3 million square foot e-fulfillment center opened in Etna, OH in 2021, the likely subject of the grant. Headquarters Menomonee Falls, WI.",
1: $1M+,"Post Holdings, Inc.",1534013,0.13%,business,5000+,MO,A,BEF FOODS INC | COMET PROCESSING,https://www.sec.gov/Archives/edgar/data/1530950/000153095020000326/post-20200930.htm | https://www.sec.gov/Archives/edgar/data/1530950/000153095023000350/post-20230930.htm,"BEF Foods, Inc. (Ohio) is listed in Post Holdings' FY2020 Exhibit 21; it is the Bob Evans Farms foods business Post bought in January 2018. Post's FY2020 10-K reports about 10,200 employees as of November 1, 2020. | Comet Processing, Inc. (Delaware) appears in Post Holdings' FY2023 10-K Exhibit 21 as a subsidiary and as a d/b/a of Michael Foods, Inc.; Post (St. Louis, MO) reported 11,430 employees as of November 1, 2023. The specific Ohio project behind the FY2023 Economic Development Grant (0 j",
1: $1M+,Kao Corporation,1517314,0.13%,business,5000+,Japan,C,KAO USA INC,https://en.wikipedia.org/wiki/Kao_Corporation,"Kao USA (formerly the Andrew Jergens Company, Cincinnati) has been owned by Tokyo-based Kao Corporation since 1988; Kao reports about 33,400 consolidated employees. Kao USA's own Form 5500 shows 949 participants in 2019 and JobsOhio metrics show 521 jobs retained at the Cincinnati plant that received a Revitalization Grant. Graded C: Wikipedia is the only source.",
1: $1M+,Jackson County Economic Development Partnership,1510000,0.13%,nonprofit,<100,OH,B,JACKSON COUNTY ECONOMIC DEVELOPMENT PARTNERSHIP,https://projects.propublica.org/nonprofits/organizations/341604927,"501(c)(3) county economic development corporation in Jackson, OH with revenue of $657,000 (2019) to $1.4 million (2020) and an executive director paid about $73,000, consistent with a staff of a few people. The Revitalization Grant was passed through to a local site project (JobsOhio metrics show 0 jobs retained).",
1: $1M+,"Intelligrated, Inc.",1500000,0.13%,business,500-4999,OH,B,Intelligrated Systems LLC,https://www.ttnews.com/articles/honeywell-acquire-warehouse-automation-firm-intelligrate-15-billion,"Mason, OH warehouse-automation maker founded in 2001; during the FY2016 grant year it was owned by private-equity firm Permira (since 2012) and had about 3,200 employees worldwide (Transport Topics, July 2016). Honeywell agreed to buy it for $1.5 billion in July 2016 and closed in August 2016, after the grant year.",
1: $1M+,Milacron Holdings Corp.,1500000,0.13%,business,5000+,OH,A,Milacron Plastics Technologies Group LLC,https://www.sec.gov/Archives/edgar/data/1637913/000162828016012117/mcrn12311510k.htm,"Milacron Holdings' 2015 10-K reports headquarters in Cincinnati, OH and 5,551 employees worldwide; the company traces to 1860 in Cincinnati. It went public in June 2015 with CCMP Capital as majority owner; the EDGAR HQ state of IN reflects the November 2019 acquisition by Hillenbrand (Batesville, IN), after the grant year.",
1: $1M+,Schaeffler AG,1500000,0.13%,business,5000+,Germany,C,LuK USA LLC,https://en.wikipedia.org/wiki/Schaeffler_Group,"LuK is a Schaeffler Group brand (Herzogenaurach, Germany), which reported roughly 90,000 employees in its 2017 annual report and 120,000 in 2023. JobsOhio metrics show 1,767 jobs retained at the LuK USA transmission-component plant in Wooster. Graded C: Wikipedia is the only source.",
1: $1M+,Land-Air LLC,1500000,0.13%,site_development,<100,OH,D,LAND-AIR LLC,https://www.toledoblade.com/business/real-estate/2017/12/07/Land-Air-LLC-breaks-ground-near-Toledo-Express-Airport/stories/20171207158,"Napoleon, OH developer of the Land Air business park and a 100,000 square foot spec building near Toledo Express Airport (Toledo Blade, Dec. 2017); JobsOhio metrics list Revitalization Grant, Revitalization Loan and OSIP spec development with 0 jobs retained. No headcount or principal owner source was found (the Blade article is paywalled and no LinkedIn or company site turned up), so the size is a best guess for a single-purpose development LLC.",
1: $1M+,"Menard, Inc.",1500000,0.13%,business,5000+,WI,B,MENARDS,https://www.forbes.com/companies/menard/,"Privately held home-improvement chain headquartered in Eau Claire, WI, founded 1958, with about 45,000 employees per Forbes; Form 5500 shows 36,286 participants in 2019. The Ohio project is not in the JobsOhio metrics extract.",
1: $1M+,"Nottingham-Spirk Design Associates, Inc.",1500000,0.13%,business,<100,OH,B,NOTTINGHAM-SPIRK DESIGN ASSOCIATES INC,"Form 5500 participants: 60 (2015), 67 (2019), 71 (2023); JobsOhio metrics jobs_retained 53","Independent Cleveland product-design and innovation firm founded in 1972 by John Nottingham and John Spirk; Form 5500 participants under 75 and 53 retained jobs put it under 100 employees. The $1.5 million was a Research & Development Grant, unusual for a firm this size.",
1: $1M+,"The Daimler Group, Inc.",1500000,0.13%,site_development,<100,OH,C,SP OFFICE,https://www.linkedin.com/company/the-daimler-group-inc-,"SP Office reads as the Scioto Peninsula office entity: JobsOhio's success story says The Peninsula Office (300 Rush Alley, Columbus, $29.2 million) was developed by the Daimler Group with a $1.5 million Ohio Site Inventory Program investment, matching this recipient's $1.5 million and 2020 EIN. Daimler Group is a Columbus developer founded 1983 that LinkedIn lists at 11-50 employees; the entity-name match is inferred, not confirmed by a filing.",
1: $1M+,SD Hanger Partners LLC (developer unidentified),1500000,0.13%,site_development,<100,OH,D,SD HANGER PARTNERS LLC,https://www.jobsohio.com/incentives-programs/ohio-site-inventory-program,"Searched JobsOhio, Team NEO, Crain's Cleveland and Akron press for a 2023 Akron hangar project and found no release naming this LLC; the name suggests a single-purpose aircraft-hangar real estate vehicle (possibly Akron Fulton or Akron-Canton airport), with no Form 5500 or JobsOhio metrics record. Developer and size unresolved; bucket is a best guess for a project LLC.",
1: $1M+,Bitwise Industries (joint venture with ProMedica Health System),1500000,0.13%,site_development,500-4999,CA,C,TOLEDO INNOVATION CENTER LANDLORD LLC,https://en.wikipedia.org/wiki/Bitwise_Industries,"Landlord LLC for the Toledo Innovation Center, a 107,000 sq ft former post office rehab sponsored by Fresno-based Bitwise Industries with Toledo nonprofit ProMedica, financed with NMTC allocations plus JobsOhio grant and loan support. Bitwise had about 900 employees when it furloughed all staff in May 2023 and entered Chapter 7 in June 2023; which JV partner controlled the LLC is not stated in the sources found.",
1: $1M+,Charoen Pokphand Foods (CP Foods),1490504,0.13%,business,5000+,Thailand,C,BELLISIO FOODS INC,https://en.wikipedia.org/wiki/Bellisio_Foods,"Bellisio Foods (formerly Luigino's, the EDGAR registrant) is headquartered in Minneapolis, MN and was acquired by Thailand's CP Foods for $1.08 billion in late 2016; CP Foods employs well over 100,000 worldwide. At the time of the 2015 grant, Bellisio was owned by private equity firm Centre Partners and would resolve to Bellisio itself (MN, 500-4999; Form 5500 showed 1,887 participants and JobsOhio lists 1,663 jobs retained at the Jackson, OH plant). Graded C: Wikipedia is the only source.",
1: $1M+,RXQ Compounding LLC,1450000,0.12%,business,<100,OH,B,RXQ COMPOUNDING LLC,https://www.rxqcompounding.com/,"Independent 503B outsourcing pharmacy in Athens, OH; Form 5500 participant counts of 16 (2019) and 25 (2023) and JobsOhio's 17 jobs retained on a Workforce Grant all point to a company under 100 employees. No parent found.",
1: $1M+,Global Cleveland,1400000,0.12%,nonprofit,<100,OH,A,GLOBAL CLEVELAND,https://projects.propublica.org/nonprofits/organizations/275245539,Cleveland 501(c)(3) immigrant-attraction nonprofit with revenue of $1.0-1.9 million a year (2020-2024 Form 990s) and Form 5500 participants of 8 to 17. Not an operating business.,
1: $1M+,LEL Operating Company (Superior Dairy),1400000,0.12%,business,100-499,OH,B,LEL OPERATING COMPANY,https://www.dairyreporter.com/Article/2021/12/07/Michigan-Milk-Producers-Association-to-acquire-Superior-Dairy/,"Canton, OH holding company for Superior Dairy (founded 1922 in Canton), Creative Edge Design Group and LEL Logistics; JobsOhio lists 298 jobs retained and Form 5500 shows 270 participants in 2019. Sold to Michigan Milk Producers Association (Novi, MI) effective Dec. 31, 2021, after the FY2020 grant.",
1: $1M+,onMain Inc. (University of Dayton and Premier Health joint venture),1389780,0.12%,nonprofit,<100,OH,B,ONMAIN INC,https://udayton.edu/news/articles/onmain_taking_next_steps_to_redevelop_former_fairgrounds.php,"Dayton 501(c)(3) formed in 2019 by the University of Dayton and Premier Health to redevelop the 38-acre former Montgomery County fairgrounds; Form 990 expenses were under $1 million a year through 2024, so its own staff is small. The two sponsoring institutions are large (Premier Health alone exceeds 5,000 employees), but the grant went to the redevelopment entity.",
1: $1M+,Middle West Spirits LLC,1300000,0.11%,business,100-499,OH,C,MIDDLE WEST SPIRITS LLC,https://middlewestspirits.com/,"Independent craft distillery founded in Columbus in 2008 by Brady Konya and Ryan Lang, building a new 100,000+ sq ft distillery campus with JobsOhio Economic Development and Revitalization grants. JobsOhio lists 166 jobs retained but the 2023 Form 5500 shows only 32 plan participants, so headcount may be closer to 100 with many hospitality or part-time roles.",
1: $1M+,PACCAR Inc,1300000,0.11%,business,5000+,WA,A,PACCAR INC,https://www.sec.gov/Archives/edgar/data/75362/000156459022006237/0001564590-22-006237-index.htm,"Nasdaq-listed truck maker headquartered in Bellevue, WA; FY2021 10-K reported about 28,800 employees worldwide, and Form 5500 shows 15,000-16,500 participants. Grants supported the Kenworth plant in Chillicothe (2,344 jobs retained).",
1: $1M+,Union Metal Industries Corporation,1250000,0.11%,business,100-499,OH,B,UNION METAL INDUSTRIES CORPORATION,https://www.news5cleveland.com/news/local-news/akron-canton-news/cantons-union-metal-gets-new-owners-hopes-to-hire-back-90-workers-initially,"Canton light-pole maker (founded 1906) re-formed in May 2018 when New York industrial investment firm American Industrial Acquisition Corp (AIAC, 8,000+ employees across its portfolio) bought the bankrupt Union Metal Corp; treated as PE-style ownership so the operating company is the parent. AIAC planned about 250 Canton jobs by 2020 and the 2023 Form 5500 shows 135 participants.",
1: $1M+,"LEWCO, Inc.",1250000,0.11%,business,100-499,OH,C,LEWCO INC,https://www.lewcoinc.com/about-us,"Privately held conveyor and industrial oven manufacturer headquartered at 706 Lane Street, Sandusky, OH with three north central Ohio locations. JobsOhio lists 467 jobs retained and Form 5500 shows 186 (2019) to 369 (2023) participants, supporting 100-499; no parent found.",
1: $1M+,"Green Circle Growers, Inc.",1250000,0.11%,business,500-4999,OH,C,GREEN CIRCLE GROWERS INC,https://www.greencirclegrowers.com/about,"Family-owned greenhouse in Oberlin, OH operating for over 50 years with 150+ acres under glass; the company site cites over 800 employees and Form 5500 shows 880 participants in 2023, with JobsOhio listing 692 jobs retained. No outside parent.",
1: $1M+,Monroe County Port Authority,1246469,0.11%,government,<100,OH,C,MONROE COUNTY PORT AUTHORITY,https://www.jobsohio.com/incentives-programs/ohio-site-inventory-program,"County-created public port authority in Woodsfield, OH that received JobsOhio OSIP spec-development money for industrial sites in Monroe County; a small public body with no Form 5500 plan. Not an operating business.",
1: $1M+,"Trew, LLC",1237397,0.11%,business,100-499,OH,C,TREW LLC,https://www.trewautomation.com/about,"Privately held material handling systems maker formed in 2018 in the Cincinnati area by former Intelligrated executives, headquartered in West Chester/Fairfield, OH with a plant in Guelph, Canada. The 2023 Form 5500 shows 415 participants and JobsOhio lists 220 jobs retained; no published headcount found.",
1: $1M+,"Robinson Investments, Ltd.",1224966,0.10%,site_development,<100,OH,C,V WERT 1 LLC,https://www.bdcvw.com/bdc-news,"Project LLC for the 100,000 sq ft OSIP-funded spec building on Bonnewitz Road in Van Wert announced in 2018 by Robinson Investments, a northwest Ohio developer with prior spec buildings in Findlay and Van Wert. The LLC-to-developer link is inferred from the project's timing and location; Robinson's own headcount is unpublished but it is a small private real estate firm.",
1: $1M+,Whirlpool Corporation,1200000,0.10%,business,5000+,MI,A,WHIRLPOOL CORPORATION,https://www.sec.gov/Archives/edgar/data/106640/000010664021000022/0000106640-21-000022-index.htm,"NYSE-listed appliance maker headquartered in Benton Harbor, MI; the FY2020 10-K reported about 78,000 employees (about 97,000 in FY2015), and Form 5500 shows 28,000-31,000 participants. Grants supported the Findlay, Clyde, Marion and Ottawa plants (2,175 jobs retained).",
1: $1M+,Campbell Soup Company,1147315,0.10%,business,5000+,NJ,A,Campbell Soup Supply Company LLC | PEPPERIDGE FARM INC,https://www.sec.gov/Archives/edgar/data/16732/000001673217000058/cpb-7302017x10xk.htm | https://www.sec.gov/Archives/edgar/data/16732/000001673219000070/cpb-7282019x10xk.htm,"Pepperidge Farm is a wholly owned Campbell Soup subsidiary; Campbell's FY2019 10-K reports about 19,000 employees as of July 28, 2019. The grant supports the Willard, Ohio bakery. | Supply-chain subsidiary of Campbell Soup Company (NYSE: CPB), Camden, NJ, whose FY2017 10-K reports approximately 18,000 employees; the JobsOhio workforce grant supported the Napoleon, OH plant, where 1,382 jobs were retained.",
1: $1M+,"Ohio Logistics, Ltd.",1110000,0.09%,business,100-499,OH,C,OHIO LOGISTICS LTD,https://www.linkedin.com/company/ohio-logistics,"Privately held Findlay third-party logistics firm (CEO Chuck Bills) that began in a single Findlay warehouse in June 1988 and now runs about 25 sites in several states; LinkedIn lists 201-500 employees and the company says 'over 400 associates.' The 2018 grant was a $110K economic development grant in Huron County and the 2024 grant a $1M OSIP spec-building grant, a site program, though the recipient is the operating company.",
1: $1M+,Univar Solutions Inc.,1100001,0.09%,business,5000+,IL,A,UNIVAR SOLUTIONS USA INC,https://www.sec.gov/Archives/edgar/data/1494319/000149431920000009/unvr-20191231.htm,"Operating subsidiary of Univar Solutions Inc. (NYSE: UNVR until 2023), Downers Grove, IL, whose 2019 10-K reports about 10,300 full-time-equivalent employees worldwide; Form 5500 shows 5,850 participants in 2019 and 8,613 in 2023. Apollo Funds took Univar private in August 2023, so the FY2024 grant year falls under private-equity ownership with the same operating company and HQ.",
1: $1M+,"MadTree Brewing, LLC",1100000,0.09%,business,100-499,OH,D,MADTREE BREWING LLC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001541962,"Independent Cincinnati craft brewer founded in 2013 that filed a 2012 Form D with the SEC listing a Cincinnati address; the 2017 Revitalization Grant and loan funded its Oakley brewery and taproom, where JobsOhio recorded 31 retained jobs. The company site and LinkedIn page could not be fetched, so the bucket rests on the retained-jobs floor plus a taproom-and-restaurant workforce that grew past 100 after the Oakley opening; confirm the 2017 headcount before use.",
1: $1M+,"Mar-Bal, Inc.",1100000,0.09%,business,100-499,OH,B,MAR-BAL INC,https://www.linkedin.com/company/mar-bal-inc,"Private thermoset composite molder founded 1970 and headquartered in Chagrin Falls, OH, with four North American plants (Painesville, OH among them) and a China facility; Form 5500 shows 510 participants in 2015 and 521 in 2019, counts that include former employees with balances, and LinkedIn lists 201-500 employees. The company sits near the 500 line, and the Painesville site retained 116 jobs.",
1: $1M+,The Chilcote Company,1100000,0.09%,business,100-499,OH,B,THE CHILCOTE COMPANY,https://www.linkedin.com/company/the-chilcote-company,"Privately held Cleveland maker of photo mounts and specialty packaging; its own Form 5500 plan shows 436 participants in 2015, 315 in 2019 and 155 in 2023, and JobsOhio recorded 120 retained jobs for the 2020 grant. No parent found; the LinkedIn page understates the company at 2-10 employees, so the Form 5500 count decides the bucket.",
1: $1M+,"ISSQUARED, Inc.",1100000,0.09%,business,100-499,CA,C,ISSQUARED INC,https://www.linkedin.com/company/issquared-inc,"Private IT services firm founded 2010 in Simi Valley, CA, headquartered in Westlake Village, CA, with offices in India, the UK, Singapore and the Middle East; Team NEO's December 2020 release on its Solon, OH security operations center promised 109 new jobs. Form 5500 shows only 36 US participants in 2019 and 81 in 2023, while LinkedIn now lists 586 employees worldwide, so the 2022 global figure likely fell in the low hundreds.",
1: $1M+,"M&M Industries, Inc.",1089346,0.09%,business,500-4999,TN,D,M&M INDUSTRIES OF OHIO,https://www.mmindustries.com/,"Ohio affiliate of M&M Industries, Inc., the privately held Chattanooga, TN plastic pail and container maker whose EIN this is; the Form 5500 plan sponsored by M & M Industries Inc shows 280 participants in 2015, 400 in 2019 and 503 in 2023, which includes former employees. The company site could not be fetched and no press release with a headcount was found, so the bucket is a coin flip at the 500 line based on the 2023 plan count and the new Ohio plant.",
1: $1M+,Humble Robinson Group LLC (developer unidentified),1075970,0.09%,site_development,<100,OH,D,HUMBLE ROBINSON GROUP LLC,https://www.jobsohio.com/incentives-programs/revitalization-program,"Project LLC at 2615 Crystal Ave., Findlay, that received a $1.08M JobsOhio Revitalization Grant (October 2017) and a $1.96M Revitalization Loan on a $6.95M Hancock County project with no jobs recorded. JobsOhio newsroom, The Courier and web searches returned nothing on the LLC or its principals (search engines were blocked this session), so the developer, its size and any operating tenant remain unresolved.",
1: $1M+,KIRCHHOFF Automotive GmbH (KIRCHHOFF Group),1060911,0.09%,business,5000+,Germany,C,KIRCHHOFF AUTOMOTIVE WAVERLY INC,https://de.wikipedia.org/wiki/Kirchhoff_Gruppe,"Waverly, OH stamping plant of KIRCHHOFF Automotive, the largest division of the family-owned KIRCHHOFF Group of Iserlohn, Germany (automotive division based in Attendorn), which employs roughly 13,000 people worldwide with several thousand in the automotive unit alone. JobsOhio recorded 230 retained jobs at Waverly for the 2021-2022 grants.",
1: $1M+,Midtown 59th Street Partners LLC (developer unidentified),1056318,0.09%,site_development,<100,OH,D,Midtown 59th Street Partners LLC,https://www.jobsohio.com/incentives-programs/revitalization-program,"Project LLC listed at 6001 Euclid Ave., Cleveland, that received a $1.06M Revitalization Grant (August 2017) and a $3.36M Revitalization Loan on a $22M Cuyahoga County MidTown project; the name and address point to a building at Euclid and E. 59th St. in the MidTown corridor, where Geis Companies' Hemingway Development built Link59, but no release naming the developer was found. Search engines were blocked this session and OpenCorporates and Crain's could not be fetched, so the developer and siz",
1: $1M+,"2509 Hayes LLC (Lombard, IL developer unidentified)",1040000,0.09%,site_development,<100,IL,D,2509 HAYES LLC,https://www.jobsohio.com/incentives-programs/ohio-site-inventory-program,"Single-purpose LLC for a spec industrial building at 2509 Hayes Ave. in Sandusky (Erie County) funded by a $1.3M JobsOhio OSIP spec development grant (May 2021) on a $21.3M investment; the 990 lists it at 2500 S. Highland Ave., Lombard, IL, a suburban Chicago office address for an industrial developer whose name could not be confirmed. Searched JobsOhio and web sources (search engines blocked this session); the parent is an out-of-state real estate developer of unknown size.",
1: $1M+,CDC Investment Partnership LLC (developer unidentified),1012000,0.09%,site_development,<100,OH,D,CDC INVESTMENT PARTNERSHIP LLC,https://www.jobsohio.com/incentives-programs/revitalization-program,"LLC formed around 2020 (EIN prefix 85) at 207 S. Central Ave., Lima, with a $1.01M FY2024 JobsOhio grant and no matching JobsOhio metrics record, which fits a revitalization or site grant to a local real estate vehicle rather than an operating company. Lima News and JobsOhio pages could not be fetched and search engines were blocked this session, so the developer and size are unresolved; the class is inferred from the name and the missing metrics row.",
1: $1M+,"NuVasive, Inc.",1011227,0.09%,business,500-4999,CA,A,NUVASIVE MANUFACTURING LLC,https://www.sec.gov/Archives/edgar/data/1142596/000156459019003470/nuva-10k_20181231.htm,"West Carrollton, OH manufacturing subsidiary of NuVasive, Inc. (NASDAQ: NUVA), San Diego, whose 10-Ks report about 2,600 employees at end of 2018 and about 3,000 at end of 2022; JobsOhio recorded 97 retained jobs. Globus Medical (Audubon, PA) acquired NuVasive on September 1, 2023, so the FY2024 grant year falls under Globus, which had over 5,000 employees after the merger.",
1: $1M+,"Surgere, Inc.",1010000,0.09%,business,<100,OH,B,SURGERE INC,https://www.linkedin.com/company/surgere,"Independent supply-chain IoT software firm founded 2004, based in North Canton/Green, OH; its Form 5500 plan shows 31 participants in 2015, 43 in 2019 and 94 in 2023, and JobsOhio recorded 52 retained jobs for the 2020 grant. LinkedIn now lists 51-200 employees, so the company likely crossed 100 after the grant year.",
1: $1M+,Morgan Stanley,1006031,0.09%,business,5000+,NY,A,MORGAN STANLEY & CO LLC,https://www.sec.gov/Archives/edgar/data/895421/000089542120000265/0000895421-20-000265-index.htm,"Broker-dealer subsidiary of Morgan Stanley (NYSE: MS), New York, whose 2019 10-K reports 60,431 employees worldwide; the Form 5500 plan sponsored by Morgan Stanley Domestic Holdings shows 61,784 participants in 2019. The workforce grants supported an Ohio operations site where 426 jobs were retained.",
1: $1M+,"Assurex Health, Inc.",1000000,0.09%,business,100-499,OH,B,Assurex Health Inc,https://www.sec.gov/Archives/edgar/data/899923/000119312516767889/d200649dex991.htm,"Privately held, venture-backed pharmacogenomics lab in Mason, OH (GeneSight test) that was independent during FY2016; Myriad Genetics (Salt Lake City, UT) closed its $225M acquisition on August 31, 2016, after the grant year, and filed Assurex's audited financials in a November 2016 8-K/A. Form 5500 shows 241 participants in 2015 and JobsOhio recorded 124 retained jobs, which places the 2016 headcount in the low hundreds.",
1: $1M+,"Lincoln Electric Holdings, Inc.",1000000,0.09%,business,5000+,OH,A,THE LINCOLN ELECTRIC COMPANY,https://www.sec.gov/Archives/edgar/data/59527/000005952718000006/leco-20171231x10k.htm,"Principal operating subsidiary of Lincoln Electric Holdings, Inc. (NASDAQ: LECO), Cleveland (Euclid), OH, whose 2017 10-K reports approximately 11,000 employees worldwide; Form 5500 shows 4,981 participants in 2019. Founded in Cleveland in 1895; JobsOhio recorded 2,475 retained jobs at the Euclid campus.",
1: $1M+,"Athens Mold & Machine, Inc.",1000000,0.09%,business,<100,OH,B,ATHENS MOLD AND MACHINE INC,https://www.athensmessenger.com/news/return-of-athens-mold-machine-is-celebrated/article_19aa9e64-debb-5f6c-9c65-f5560a525852.html,"Independent Athens tire-mold maker that has owned its Mill Street plant since 1969, idled production in 2011 and reopened in 2016 with a $400,000 JobsOhio revitalization grant and a pledge of 60 jobs over three years. Form 5500 shows 68 plan participants in 2023, so the company stayed under 100 employees through both grant years.",
1: $1M+,711 LLC (developer unidentified),1000000,0.09%,site_development,<100,OH,D,711 LLC,https://www.jobsohio.com/why-ohio/get-started/revitalization-program,"Single-purpose Columbus LLC formed in 2016 that took a $2 million JobsOhio revitalization grant and loan in fiscal 2018 with zero jobs retained; no JobsOhio release, Google News story or partner page names the project or developer. Bucket is a best guess for a real-estate project vehicle.",
1: $1M+,Air South Commerce Center Phase II LLC (developer unidentified),1000000,0.09%,site_development,<100,OH,D,AIR SOUTH COMMERCE CENTER PHASE II LLC,https://www.jobsohio.com/why-ohio/get-started/revitalization-program,"Whitehall project LLC for a speculative commerce-center phase south of John Glenn airport, funded by a $2 million JobsOhio revitalization grant and loan in fiscal 2018-2019 with zero jobs retained. Searched the JobsOhio sitemap, One Columbus project pages, Columbus Underground and Google News for the developer and found nothing; bucket is a best guess for a project vehicle.",
1: $1M+,Nordson Corporation,1000000,0.09%,business,5000+,OH,A,Nordson Xaloy Incoporated,https://www.sec.gov/Archives/edgar/data/72331/000156459018030928/ndsn-10k_20181031.htm,"Nordson's FY2018 10-K reports 7,536 employees, incorporation in Ohio in 1954 and headquarters in Westlake; Xaloy was Nordson's screws-and-barrels unit at the 2018 grant. Nordson sold Xaloy to Altair Investments in 2020, which is why the 2023 Form 5500 sponsor is Xaloy LLC (340 participants) and the 2023 JobsOhio R&D release names Xaloy, LLC.",
1: $1M+,Reich Brothers LLC,1000000,0.09%,site_development,<100,NY,C,476 BRIDGE STREET LLC,https://www.reichbros.com/team,"476 Bridge Street LLC is the affiliate of White Plains-based industrial real estate firm Reich Brothers that bought the 90-acre Columbus Castings (Buckeye Steel) site at bankruptcy auction for $29.7 million in August 2016 and held it until selling to Stonemont Financial in 2021, so the 2019-2020 grants funded cleanup of that South Side brownfield. Reich Brothers is a family-run acquirer with a small listed team and no public headcount, so the bucket is inferred from its website.",
1: $1M+,"Franklin International, Inc.",1000000,0.09%,business,100-499,OH,B,FRANKLIN INTERNATIONAL INC,https://www.franklininternational.com/about,"Privately owned Titebond adhesives maker founded in Columbus in 1935 and still headquartered at 2020 Bruck Street; Form 5500 shows 385 plan participants in 2019 and JobsOhio counted 372 retained Ohio jobs for the 2019 R&D grant. The company site now says 500+ employees (2025) and the 2023 plan count was 448, so it likely crossed 500 after the grant year.",
1: $1M+,Stewart-MacDonald Manufacturing Co. (StewMac),1000000,0.09%,business,100-499,OH,B,STEWART-MACDONALD MANUFACTURING COMPANY,https://www.stewmac.com/about-us/,"Athens-based guitar-repair tools and parts maker founded in 1968, privately held with no JobsOhio metrics record for these grants. Form 5500 participants rose from 89 (2019) to 139 (2023), so the company was near the 100-employee line in the 2019 grant year and above it by 2021.",
1: $1M+,Huntington Bancshares Incorporated,1000000,0.09%,business,5000+,OH,A,THE HUNTINGTON NATIONAL BANK,https://www.sec.gov/Archives/edgar/data/49196/000004919623000020/hban-20221231.htm,"The bank is the subsidiary of Columbus-headquartered Huntington Bancshares, whose 2022 10-K reports 19,920 average full-time equivalent colleagues; JobsOhio counted 4,677 retained jobs for its revitalization and workforce grants. Huntington National Bank was founded in Columbus in 1866, though the holding company was organized under Maryland law in 1966.",
